Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-92.22433148859604,64.53336008550167
0.01,-92.43953297222772,64.54194156458
0.015,-92.63627515421325,64.54953286692775
0.02,-92.81521785751875,64.55616976517487
0.025,-92.97702090511031,64.56188803195136
0.03,-93.12234411995406,64.56672343988714
0.035,-93.25184732501614,64.57071176161223
0.04,-93.36619034326263,64.57388876975656
0.045,-93.46603299765967,64.57629023695011
0.05,-93.55203511117335,64.57795193582285
0.055,-93.62485650676982,64.57890963900476
0.06,-93.68515700741516,64.57919911912579
0.065,-93.73359643607552,64.5788561488159
0.07,-93.77083461571699,64.57791650070509
0.075,-93.7975313693057,64.5764159474233
0.08,-93.81434651980776,64.57439026160051
0.085,-93.82193989018928,64.57187521586668
0.09,-93.82097130341641,64.5689065828518
0.095,-93.81210058245523,64.5655201351858
0.1,-93.79598755027186,64.56175164549869
0.105,-93.77329202983242,64.55763688642041
0.11,-93.74467384410303,64.55321163058093
0.115,-93.71079281604982,64.54851165061024
0.12,-93.67230876863889,64.54357271913827
0.125,-93.62988152483634,64.53843060879501
0.13,-93.58417090760653,64.53312109220923
0.135,-93.51060059117808,64.5284336202393
0.14,-93.45413738702847,64.52281966522335
0.145,-93.40816657002244,64.51761441708635
0.15,-93.36905405331765,64.51274704976205
0.155,-93.33453808466604,64.50818546739328
0.16,-93.30401747491271,64.50361707626323
0.165,-93.27634850845821,64.49901720084138
0.17,-93.25059155586582,64.49428250922887
0.175,-93.22738155563934,64.48957360075983
0.18,-93.20570082900906,64.48468705972832
0.185,-93.18608347187752,64.48020187999606
0.19,-93.16741824503208,64.47529404063388
0.195,-93.15082588959932,64.47035937393701
0.2,-93.13537669482709,64.4654750232156
0.205,-93.1211324605296,64.46083989897723
0.21,-93.10925753471022,64.45639382545347
0.215,-93.09773213662645,64.45219727287018
0.22,-93.08674437472925,64.44846550091613
0.225,-93.07707997462957,64.44536752361199
0.23,-93.06927204240007,64.44274658995549
0.235,-93.06263830890668,64.44050910552777
0.24,-93.05609732043581,64.43833901560501
0.245,-93.04997532899773,64.43649972139676
0.25,-93.04458323404656,64.43530131373181
0.255,-93.03940780991465,64.43463562481473
0.26,-93.0343833155886,64.43484880291616
0.265,-93.02898445491226,64.43564273482852
0.27,-93.02377662461033,64.43693832249757
0.275,-93.0187124328959,64.43884769983342
0.28,-93.01313825001522,64.44081363790676
0.285,-93.0074700355596,64.4429624227037
0.29,-93.00084291829762,64.44543929647207
0.295,-92.99396857686291,64.44852230174965
0.3,-92.98694068948156,64.45230403633028
0.305,-92.97852942535327,64.45644533058383
0.31,-92.97112407075862,64.46105353009004
0.315,-92.96368363043152,64.46609729552075
0.32,-92.95609896713225,64.4715477904357
0.325,-92.94898223289137,64.47728585018788
0.33,-92.94142893836602,64.48317551699802
0.335,-92.93454235429844,64.48934025685621
0.34,-92.92749461369274,64.49576269451052
0.345,-92.92074315612862,64.50205636820642
0.35,-92.91512991687064,64.5082410156503
0.355,-92.91109131576982,64.51481281116097
0.36,-92.90830505334031,64.52141972864494
0.365,-92.90751438764006,64.52853086366498
0.37,-92.90827301637457,64.53588846406363
0.375,-92.9106396452903,64.54317590885286
0.38,-92.91424841785593,64.55013567691104
0.385,-92.91990649391654,64.55705052662452
0.39,-92.9272624340284,64.56371494257957
0.395,-92.93630624023017,64.56998114113446
0.4,-92.94712784434351,64.57576917710358
0.405,-92.95972905161888,64.58098879929206
0.41,-92.97475275544001,64.58571241024588
0.415,-92.99169881537343,64.58981254388425
0.42,-93.01081086094636,64.59329743595427
0.425,-93.03126402409842,64.59597064712554
0.43,-93.0530761851893,64.59809468391006
0.435,-93.07657665858618,64.59985175881549
0.44,-93.10091347935223,64.60080703300063
0.445,-93.12648441187618,64.6011597952376
0.45,-93.15295274637978,64.60101186889726
0.455,-93.17952063693224,64.60004743255669
0.46,-93.20677583410543,64.59857306847142
0.465,-93.23358805408778,64.59653622052471
0.47,-93.26049262044262,64.59416382703901
0.475,-93.28700110987612,64.59115951890065
0.48,-93.31262334820543,64.58768324310732
0.485,-93.33692646039368,64.58406917936861
0.49,-93.36015958005665,64.57982749779032
0.495,-93.38196186096901,64.57539407234466
0.5,-93.4023956374985,64.57049954925242
0.505,-93.42114960701082,64.56526882375468
0.51,-93.43849961720358,64.55972560646777
0.515,-93.45403779247368,64.55350609753211
0.52,-93.46821639901066,64.54681586445776
0.525,-93.48062015900521,64.5402745860596
0.53,-93.49123454438201,64.53394412330847
0.535,-93.50031019954973,64.52778103241174
0.54,-93.50813491132124,64.52138433939488
0.545,-93.51500977145396,64.5149061088574
0.55,-93.52079566241413,64.50832556569674
0.555,-93.5253649346513,64.5015428050453
0.56,-93.52994254682827,64.49468905297844
0.565,-93.53330354934248,64.48786041359817
0.57,-93.53566833450184,64.48149063851832
0.575,-93.5377552764484,64.4756011982139
0.58,-93.5396111214279,64.47000146322556
0.585,-93.54159914154161,64.46472891118589
0.59,-93.54384303608057,64.45984748238796
0.595,-93.54630023556415,64.45507820788569
0.6,-93.5492825522644,64.4506945027055
0.605,-93.55268574599474,64.44683344356487
0.61,-93.5565860993436,64.44356360053332
0.615,-93.56107336972346,64.44076875127287
0.62,-93.56536821445381,64.43806501166381
0.625,-93.57014362499538,64.43589670434088
0.63,-93.57515575890557,64.43391150648816
0.635,-93.58114594441372,64.4323269519116
0.64,-93.58695213028427,64.43077105710086
0.645,-93.59293825681037,64.42936484178452
0.65,-93.59957645699612,64.42840697184411
0.655,-93.60584978821538,64.42771482706166
0.66,-93.61239730458043,64.42720940225024
0.665,-93.61916006930895,64.4270123037882
0.67,-93.62592433803533,64.42714537588498
0.675,-93.63254360234482,64.42762803007872
